titulo,ubicacion,detalle,portal
Empleo deAsistente Junior de RRHH y People Analytics en Manpower,San Isidro,"Hola!
En Manpower nos encontramos en la búsqueda del mejor talento para asumir el reto como Asistente Operativo People Analytics.

Funciones:
Dar soporte en la ejecución de procesos relacionados con la gestión de personal tercero y control presupuestario.
Consolidar, depurar y mantener actualizadas las bases de datos relacionadas con presupuesto, headcount y personal tercero.
Cumplir con los plazos establecidos para la entrega de reportes y tareas asignadas.
Mantener un orden riguroso en archivos, bases y entregables, asegurando trazabilidad y fácil acceso.
Atender solicitudes de información y soporte operativo de las áreas del Hub.

Requisitos:
Egresado o bachiller de las carreras Ingeniería de Sistemas, Industrial, Administración o afines
Experiencia mínima de 06 meses como en proyectos de People Analytics o analítica de datos aplicada a Recursos Humanos.
Conocimiento en People Analytics
Nivel de Excel avanzado.
Deseable conocimiento en Power BI y procesos de RRHH.
Disponibilidad inmediata para laborar de manera presencial en San Isidro (Avenida Rivera Navarrete).

Beneficios:
Planilla completa de Manpower desde el primer día de labores.
Pertenecer a una sólida organización.
Oportunidad de hacer línea de carrera.",Computrabajo
Empleo deAnalista BI Comercial  Sql Power BI Consumo Masivo en Overall Strategy,San Isidro,"Por encargo de nuestro cliente, empresa LÍDER en la venta y comercialización de bebidas de la más alta calidad, nos encontramos en la búsqueda de:

																											Analista BI Comercial
REQUISITOS:
Universitario completo en Ingeniería de Sistemas, Ingeniería Industrial, Economía, Administración o afines.
Experiencia mínima de 2 años como Analista de Datos, BI o Analista Comercial.
Idealmente experiencia en gestión de maestro de clientes: creación/modificación de registros, seguimiento de solicitudes y control de integridad de la data.
SQL nivel intermedio: consultas, JOINs y manejo de volúmenes grandes de data.
Excel avanzado y Power BI: publicación y mantenimiento de tableros.
Experiencia deseable con canal tradicional.
Disponibilidad inmediata.
FUNCIONES:
Atención y seguimiento de solicitudes de creación o modificación de clientes ingresadas, asegurando tiempos de respuesta y resolución de incidencias técnicas asociadas.
Elaboración y mantenimiento de reportes recurrentes: tickets, venta, cobertura, entre otros KPIs comerciales.
Identificación de oportunidades de mejora en procesos de enriquecimiento de datos, front de ventas y reportería.
Monitoreo del despliegue de acciones comerciales, asegurando el uso eficiente de palancas comerciales.
Elaboración de presentaciones mensuales con resultados y hallazgos clave.
Constante coordinación con áreas Comercial, Marketing y TI.
Otras funciones que asigne el jefe inmediato.
BENEFICIOS:
Salario acorde al mercado.
Planilla completa.
Horario de oficina.",Computrabajo
Empleo deAnalista Programador de Software en ECOTIERRA PERU SAC,Lima,"ECOTIERRA es una empresa canadiense dedicada al desarrollo y operación de proyectos forestales y agroforestales sostenibles con fuertes impactos socioeconómicos y ambientales.  Basados en Sherbrooke, Quebec, Canadá, contamos con oficinas en Perú, Colombia, Honduras. Estamos en la búsqueda de una Analista programador de software. OBJETIVO DEL PUESTO:- Diseñar, desarrollar e implementar soluciones de software de acuerdo con los requerimientos técnicos y funcionales establecidos.FUNCIONES DEL PUESTO:- Desarrollar nuevas funcionalidades según especificaciones.- Mantener y optimizar sistemas existentes.- Integrar sistemas con APIs y servicios externos.- Garantizar calidad, seguridad y rendimiento del software.- Realizar, como mínimo, las siguientes actividades:  o Análisis de requerimientos funcionales y técnicos.  o Desarrollo de aplicaciones web y/o móviles  o Implementación de servicios backend y consumo de APIs.  o Gestión de base de datos.  o Corrección de errores (bug fixing).  o Pruebas técnicas y documentación básica del código.  o Soporte técnico durante la etapa de implementación.REQUISITOS:- Técnico completo, bachiller universitario o Titulado en: Ingeniería de Sistemas, Ingeniería de Software, Ciencias de la Computación o carreras afines.- Experiencia mínima comprobada de 4 años en desarrollo de software y/o proyectos similares.- Experiencia en Manejo de lenguajes / frameworks como:  o Backend: PHP (Laravel) / Node.js  o Frontend: HTML, CSS, JavaScript, Frameworks (Angular / React)- Conocimiento y manejo de base de datos MySQL / PostgreSQL- Deseable manejo de conocimiento almacenados- Conocimiento en aplicaciones móviles Ionic y Flutter- Y poseer otros conocimientos como:   o Consumo y creación de APIs REST   o Control de versiones (Git)   o Manejo de servidores y despliegues (deseable)   o Buenas prácticas de desarrollo y seguridadCOMPETENCIAS ESPECÍFICAS- Análisis y diseño de software para desarrollar soluciones escalables, seguras y mantenibles.- Programación avanzada en lenguajes y frameworks, aplicando patrones de diseño y buenas prácticas.- Gestión y optimización de bases de datos, desarrollo de APIs e integración de sistemas.- Aseguramiento de la calidad del software mediante pruebas, control de versiones y CI/CD.- Capacidad para resolver problemas complejos, revisar código con el equipo.COMPETENCIA GENERALES-	Comunicación y relaciones interpersonales-	Orientación a resultados y productividad-	Pensamiento crítico y resolución de problemas-	Innovación y mejora continua con sostenibilidad y conservación -	Liderazgo y trabajo en equipo con responsabilidadTrabajo de lunes a viernes de 8am a 6pmSi cuentas con los requisitos envía tu CV y forma parte del equipo",Computrabajo
Trabajos de Especialista de Performance y Data en Swiss Capitals Group,Miraflores,"¡Únete a Swiss Capitals Group! Somos un grupo empresarial peruano con 40 años de experiencia en facility services, arrendamiento, producción, agro exportación y desarrollo de proyectos. Estamos en la búsqueda del mejor talento para el puesto de Especialista de Performance y Data, apasionado por el marketing digital basado en datos, optimización continua y generación de resultados de negocio.
Estas serán tus funciones claves:
Performance: Diseñar, ejecutar y optimizar campañas (Google Ads, Meta Ads, LinkedIn Ads y otras plataformas digitales) con trazabilidad y control de presupuesto.
CRM, Automatización e IA: Administrar Kommo, segmentar, crear flujos automatizados y soluciones basadas en inteligencia artificial, asegurando calidad y trazabilidad de datos.
SEO técnico: Ejecutar y monitorear SEO on-page/técnico, reportar posiciones y tráfico orgánico.
Email: Programar envíos y journeys, A/B testing y métricas de conversión.
Analítica & Reporting: Mantener dashboards Looker (GA4+CRM) con CPL, CAC, ROI y tasas de conversión por marca.
Gestión de proveedores: Coordinar y supervisar el trabajo de agencias/centrales, asegurando la calidad técnica de las implementaciones y validar entregables para la gestión de pago.
QA y cierre: Verificar resultados, documentar aprendizajes y comunicar seguimiento completo.
Proponer iniciativas, mejoras y estrategias digitales alineadas a los objetivos comerciales de la organización.
¿Qué buscamos de ti?
Bachiller en Marketing, Comunicaciones, Ingeniería Industrial o carreras afines.
Especialización en Marketing Digital, Analítica, Performance, CRM o Automation.
Mínimo 3 años de experiencia gestionando campañas, performance, analítica, CRM y automation. Deseable en multimarcas, agencias de publicidad digital o afines.
Conocimiento de Google Ads, Meta Ads, LinkedIn Ads. Google Analytics 4 (GA4), Google Tag Manager, Google Search Console, SEO, SEM, Looker Studio, Power BI, Segmentación, Lead Nurturing, Diseño y construcción de Workflows, A/B Testing y experimentación digital.
Dominio de MS. Office a nivel avanzado.
Dominio de ingles a nivel intermedio.
¿Qué te ofrecemos?
Horario de Lunes a Viernes de 8:00 a.m. a 6:30 p.m. (early friday todo el año)
Contrato indeterminado con todos los beneficios de ley.
Seguro oncológico cubierto al 100%.
Cuponeras de Tiempo Libre para disfrutar de más días de descanso.
Convenios Corporativos con grandes descuentos exclusivos.
¿Te identificas? ¡Postula ahora y únete a nuestro equipo de Marketing!
Dentro del marco de la Ley de Protección de Datos Personales N° 29733, al momento de postular, usted da conformidad de que la empresa use sus datos personales para fines exclusivos de postulación con Espárragos del Perú, donde el área de Talento y Transformación Cultural conservará la información.
De acuerdo a la Ley N°29973, reglamento N°107-2015-MIMP y normas complementarias, se reciben también postulaciones de personas con discapacidad, debidamente acreditadas y certificadas, a fin de ser evaluadas según la descripción de puesto. Así también nuestros procesos de reclutamiento y selección cumplen con la ley 28867 art. 323, a fin de fomentar una sociedad sin discriminación.
Nuestras convocatorias se alinean a la Ley 28983: Ley de igualdad de oportunidades entre mujeres y hombres, a fin de brindar oportunidades equitativas sin discriminación en el ámbito laboral.",Computrabajo
Empleo dePracticante profesional de Data analytics ,Chorrillos,"EXPERIENCIA Y CONOCIMIENTOS:
Mínimo 1 año de experiencia en posiciones comerciales, marketing o análisis de mercado.
Experiencia en manejo de bases de datos y análisis estadístico.
Conocimiento del sector retail y canales de distribución (deseable).
Manejo de Office (Excel / Power BI / IA / Power Query)  Avanzado.
Manejo de plataformas de inteligencia comercial: VERITRADE, CAMTRADE.
HABILIDADES BLANDAS:
Capacidad analítica
Comunicación efectiva para presentar informes y coordinar con equipos multidisciplinarios
Organización y planificación
Trabajo en equipo
Proactividad
Orientación a resultados
FUNCIONES:
Realizar seguimiento y análisis de datos de importaciones, partidas arancelarias y competencia para desarrollo de estrategias de precios.
Elaborar promociones de acuerdo a requerimiento para los diferentes canales de distribución.
Elaborar reporte para proveedores y desarrollar indicadores de gestión propios.
Analizar base de datos empresariales (SUNAT, Google Maps, Top 10000).
Preparar presentaciones para los diferentes canales del mercado.
Realizar levantamiento de información del mercado (4 P) mediante salidas a campo.
Optimizar procesos empleando herramientas de automatización o componentes de IA.
BENEFICIOS:
Ingreso directo a planilla desde el primer día con todos los beneficios de ley.
Seguro FOLA
Excelente clima laboral y oportunidades de desarrollo profesional.
Horario de trabajo: 48 horas semanales.
Lugar de trabajo: Chorrillos",Computrabajo
Empleo deAnalista de Negocio y/o inteligencia Comercial Power BI DAX  SQL   Python Avanzado en Overall Strategy,San Isidro,"Overall, empresa con 35 años en el mercado, líder en servicios de RRHH y Trade Marketing, se encuentra en la búsqueda de los mejores talentos para cubrir el puesto de: Analista Senior de Inteligencia de comercial - Gestión de desarrollo
Buscamos un perfil con experiencia en Databricks y BI, con interés en seguir desarrollándose en automatización y analítica avanzada.
Requisitos:
Técnico o universitario egresado/bachiller de las carreras de Ingeniería de Sistemas, Ingeniería Industrial, Estadística, Economía o afines.
Experiencia mínima de 3 años en análisis de datos, BI o inteligencia comercial.
Experiencia trabajando con Databricks (SQL y Python).
Dominio de SQL a nivel intermedio  avanzado.
Manejo de Python a nivel intermedio (procesamiento y transformación de datos).
Experiencia en modelado y transformación de datos.
Dominio de Power BI (desarrollo de dashboards).
Manejo de DAX a nivel intermedio  avanzado.
Experiencia en automatización de procesos de datos.
Manejo de grandes volúmenes de información.
Deseable experiencia en trade marketing, consumo masivo o canal tradicional.

FUNCIONES:
Diseñar, desarrollar y optimizar pipelines de datos en Databricks utilizando SQL y Python.
Procesar, limpiar y estructurar grandes volúmenes de datos provenientes de distintas fuentes.
Implementar lógicas de negocio (KPIs, calendarios, reglas comerciales) asegurando consistencia en los resultados.
Construir y mantener dashboards en Power BI enfocados en claridad, performance y usabilidad.
Desarrollar medidas DAX para el cálculo de indicadores clave del negocio.
Automatizar procesos de carga, validación y distribución de información.
Orquestar workflows y ejecución de procesos en Databricks.
Monitorear la calidad de la data y asegurar que los indicadores cuadren entre fuentes.
Traducir requerimientos del negocio en soluciones analíticas.
Generar análisis e insights para la toma de decisiones.

Beneficios:
* Salario: Acorde al mercado - Planilla completa
* Horario de oficina - Sábados medio día.",Computrabajo
Empleo deDesarrollador/a Web Frontend ,Cerro Colorado,"PERFIL:
Desarrollador Frontend enfocado en la construcción de interfaces web modernas para sistemas empresariales y plataformas eCommerce.
RESPONSABILIDADES:
- Desarrollar y mantener interfaces web utilizando React y Next.js.
- Integrar interfaces con APIs REST y servicios WebSocket.
- Implementar formularios, validaciones y manejo de estados.
- Desarrollar componentes reutilizables.
- Documentar componentes cuando sea requerido.
- Colaborar con backend en la implementación de nuevas funcionalidades.
- Mantener el código limpio, modular y versionado utilizando Git.
REQUISITOS:
- Conocimientos en JavaScript, TypeScript, React y Next.js.
- Manejo de HTML5, CSS3 y frameworks Tailwind CSS.
- Experiencia consumiendo APIs REST.
- Conocimientos en manejo de estado en aplicaciones React.
- Manejo de control de versiones con Git.
- Deseable experiencia implementando validaciones y manejo de formularios.
- Deseable experiencia con Figma o herramientas de prototipado UI.
- Deseable experiencia en proyectos ERP, eCommerce o sistemas empresariales.
HABILIDADES:
- Proactividad y autonomía
- Capacidad de trabajo en equipo
- Orientación a resultados
- Capacidad analítica para resolver problemas técnicos",Computrabajo
Empleo deAnalista Jr de Data Analytics en Grupo Pacasmayo,Santiago De Surco,"¿Quieres ayudarnos a construir el futuro que soñamos? 
¡Únete a nuestra Familia Pacasmayo!
Somos Pacasmayo, la compañía de cemento más grande del norte del Perú, líder en brindar soluciones constructivas que se anticipen a las necesidades de sus clientes. Buscamos gente con buena onda y garra, que le gusten los retos, experimentar y aprender 
Si te apasiona gestionar, transformar y analizar información comercial mediante la administración de bases de datos, desarrollo de procesos ETL, elaboración de dashboards e indicadores de gestión. ¡Postula al puesto de Analista Jr de Data Analytics!

 ¿Qué tenemos para ti?
- Pertenecer a una empresa líder en la comercialización de soluciones constructivas.
- Sueldo acorde al mercado y todos los beneficios de ley.
- Seguro privado según el plan que elijas
- Excelente ambiente de trabajo.

¿Cuáles serían tus funciones?
- Interactuar con las áreas de inteligencia comercial y ventas, recopilando requerimientos y entendiendo necesidades del negocio, para desarrollar soluciones de información que apoyen la toma de decisiones comerciales. 
- Construir, mantener y actualizar bases de datos, tablas y modelos semánticos comerciales, utilizando SQL y buenas prácticas de modelado de datos, para asegurar información estructurada, confiable y disponible oportunamente.
- Desarrollar y dar soporte a procesos ETL mediante SQL, python y herramientas de integración, para automatizar la extracción, transformación y carga de datos comerciales. 
- Velar por la disponibilidad de plataformas y soluciones bi, monitoreando conexiones, actualizaciones, gateways y ambientes cloud/on-premise, para garantizar continuidad operativa y acceso oportuno a la información.
- Diseñar dashboards, reportes e indicadores de gestión en power bi, aplicando modelado de datos, visualizaciones y métricas de negocio, para facilitar el seguimiento comercial.

¿Cuáles son los requisitos?
- Carrera universitaria completa en Ingeniería de Sistemas, Ing. Informática, Ingeniería Industrial, Estadística, Economía o carreras afines.
- Base de datos (avanzado).
- Programación (avanzado).
- Power BI (intermedio).
- SQL (avanzado).
- GIT / CLOUD (intermedio).
- Experiencia mayor a 1 año como practicante o como asistente en Data Analytics o posiciones afines.

En Cementos Pacasmayo  abrazamos la diversidad e inclusión y nos encontramos comprometidos con la igualdad de oportunidades para todas las personas.
¡Anímate a ser parte de la FamiliaPacasmayo!
Al postular se afirma su consentimiento y autorización del uso de sus datos personales expuestos en su CV, dentro del marco de la Ley de Protección de Datos Personales N° 29733, para fines únicamente de postulación con la organización. Este registro se deriva al área de GH para el proceso de selección. 
Somos una compañía que cree en la inserción laboral de personas con discapacidad, en concordancia con la Ley N° 29973; está convocatoria se encuentra abierta para la postulación de personas con discapacidad.",Computrabajo
Empleo deIngeniero de datos  GCP en Vooxell,Lima,"Experiencia
	Mínimo 2 años en Business Intelligence en gestión e implementación de proyectos.
	Mínimo 2 años en explotación de bases de datos (Oracle o SQL).
	Experiencia en programación y explotación de base de datos SQL Server y GCP

Conocimientos
	Cloud Computing, Analytics y Big Data. 
	Servicios AWS: Athena, Amazon Glue, PySpark, Amazon RedShift, Amazon S3, Amazon DMS.
	Servicios Google Cloud Platform:  BigQuery, Cloud Dataflow, Cloud Composer, Cloud Storage, CloudWatch, Cloud Functions. 
	Diseño, construcción y mantenimiento de sistema de procesamiento de datos.
	Modelamiento de datos.
	Virtualización y despliegue en Cloud.
	Lenguaje SQL para consultas en BDS, Python, Glue, S3, Step Functions y Lambda. 
	Nivel intermedio/alto en Java, Python/Scala (Tratamiento, Exposición de datos- APIs). 
	Especialización en metodología ágil (deseable) 
	Herramientas Analíticas, Gobierno y Calidad de Datos.
Habilidades
	Idioma inglés intermedio- avanzado
	Manejar múltiples lenguajes de programación para procesar y transformar datos.
	Manejar informes y reportes a las diversas áreas, entrega de dashboards, flujogramas y automatización de procesos operativos.
	Interés por las nuevas tendencias en el procesamiento de grandes volúmenes de Datos (Big Data).

Funciones
	Desarrollar un proceso para transformar los datos de la empresa para que puedan ser analizados y utilizados por los científicos de datos. 
	Diseñar, desarrollar, probar y desplegar procesos de extracción, transformación y carga (ETL) de datos estructurados y no estructurados a la nube (AWS, Google).
	Procesamiento de información de gran volumen utilizando tecnologías de Big Data en la nube (AWS, Google).
	Realizar consultas complejas sobre los datos, asegurando la accesibilidad y el buen funcionamiento del sistema. 
	Optimizar el rendimiento del ecosistema de Big Data. 
	Optimizar código Python para ejecutarlo en C o Java.
	Uso de herramientas de versionado e integración continua.
	Participar en asegurar el cumplimiento y la gobernanza durante el uso de los datos.
	Realizar construcciones y automatizaciones para aumentar la eficiencia y reducir aún más los costes de la nube.
	Colaborar con los clientes para resolver los desafíos de la nube, especialmente los relacionados con la ingeniería de datos.
	Crear, generar y supervisar el rendimiento de las aplicaciones en la nube para detectar posibles fallos y resolver los problemas de rendimiento.
	Coordinar y ejecutar la limpieza de datos para que se conviertan en un conjunto homogéneo.
	Garantizar la seguridad de la información de cualquier acceso malicioso.
	Educar y entrenar.
	Participar en asegurar el cumplimiento y la gobernanza durante el uso de los datos.",Computrabajo
Empleo deAsistente contable en CONTROL EMPRESARIAL S.A.,San Borja,"REQUISITOS:Universitario en Contabilidad (egresado o titulado).Mínimo 1 o 2 años de experiencia en puestos similares.Conocimiento básico de obligaciones tributarias ante SUNAT (IGV, Renta mensual y anual, PDT, detracciones, percepciones y retenciones).Experiencia en conciliaciones contables y bancarias.Manejo de Excel intermedio.Manejo de Concar SQLFUNCIONES:Registro de comprobantes de compras, ventas y provisiones en el sistema contable.Apoyo en el análisis y conciliación de cuentas contables.Apoyo en el proceso de cierre contable mensual.Apoyo en la preparación de información para declaraciones tributarias.Control y orden de documentos contables y tributarios.Elaboración de reportes contables Soporte al supervisor de contabilidad en actividades del área.BENEFICIOS:Sueldo a S/1800.Planilla con los beneficios por ley.Estabilidad laboral.Grato ambiente laboral.",Computrabajo
