,carrera,curso,universidad,ciclo,texto_limpio,tokens
0,Ingeniería Informática,algebra matricial y geometria analitica,Pontificia Universidad Catolica del Peru (PUCP),1,algebra matricial geometria analitica,"['algebra', 'matricial', 'geometria', 'analitica']"
1,Ingeniería Informática,comunicacion academica,Pontificia Universidad Catolica del Peru (PUCP),1,comunicacion academica,"['comunicacion', 'academica']"
2,Ingeniería Informática,fundamentos de calculo,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos calculo,"['fundamentos', 'calculo']"
3,Ingeniería Informática,fundamentos de fisica,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos fisica,"['fundamentos', 'fisica']"
4,Ingeniería Informática,quimica,Pontificia Universidad Catolica del Peru (PUCP),1,quimica,['quimica']
5,Ingeniería Informática,laboratorio de quimica,Pontificia Universidad Catolica del Peru (PUCP),1,laboratorio quimica,"['laboratorio', 'quimica']"
6,Ingeniería Informática,calculo diferencial,Pontificia Universidad Catolica del Peru (PUCP),2,calculo diferencial,"['calculo', 'diferencial']"
7,Ingeniería Informática,ciencia y filosofia,Pontificia Universidad Catolica del Peru (PUCP),2,ciencia filosofia,"['ciencia', 'filosofia']"
8,Ingeniería Informática,dibujo en ingenieria,Pontificia Universidad Catolica del Peru (PUCP),2,dibujo ingenieria,"['dibujo', 'ingenieria']"
9,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),2,fisica,['fisica']
10,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),2,laboratorio fisica,"['laboratorio', 'fisica']"
11,Ingeniería Informática,trabajo academico,Pontificia Universidad Catolica del Peru (PUCP),2,trabajo academico,"['trabajo', 'academico']"
12,Ingeniería Informática,idioma extranjero nivel basico de ingles,Pontificia Universidad Catolica del Peru (PUCP),2,idioma extranjero nivel basico ingles,"['idioma', 'extranjero', 'nivel', 'basico', 'ingles']"
13,Ingeniería Informática,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),2,electivos humanidades,"['electivos', 'humanidades']"
14,Ingeniería Informática,calculo integral,Pontificia Universidad Catolica del Peru (PUCP),3,calculo integral,"['calculo', 'integral']"
15,Ingeniería Informática,calculo en varias variables,Pontificia Universidad Catolica del Peru (PUCP),3,calculo varias variables,"['calculo', 'varias', 'variables']"
16,Ingeniería Informática,estructuras discretas,Pontificia Universidad Catolica del Peru (PUCP),3,estructuras discretas,"['estructuras', 'discretas']"
17,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),3,fisica,['fisica']
18,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),3,laboratorio fisica,"['laboratorio', 'fisica']"
